"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.649473960E-1,-2.291127741E-1,-1.076770201E-1,9.861719131E0
5.673733850E-1,-2.578266263E-1,-1.028913707E-1,9.880862236E0
5.697993750E-1,-2.578266263E-1,-1.196411327E-1,9.864111900E0
5.722253640E-1,-2.578266263E-1,-1.148554832E-1,9.880862236E0
5.746513020E-1,-2.697907388E-1,-8.135596663E-2,9.864111900E0
5.770772920E-1,-2.602194548E-1,-1.100698411E-1,9.856933594E0
5.795032810E-1,-2.626122832E-1,-1.268195957E-1,9.873683929E0
5.819292710E-1,-2.386840582E-1,-1.100698411E-1,9.873683929E0
5.843552080E-1,-2.578266263E-1,-1.028913707E-1,9.856933594E0
5.867811980E-1,-2.626122832E-1,-1.220339537E-1,9.859326363E0
5.892071870E-1,-2.650051117E-1,-9.571290761E-2,9.861719131E0
5.916331250E-1,-2.673979402E-1,-1.028913707E-1,9.895218849E0
5.940591140E-1,-2.554338276E-1,-1.052841991E-1,9.885647774E0
5.964851040E-1,-2.386840582E-1,-9.332008660E-2,9.854540825E0
5.989110940E-1,-2.554338276E-1,-1.100698411E-1,9.888040543E0
6.013370310E-1,-2.626122832E-1,-1.028913707E-1,9.878469467E0
6.037630210E-1,-2.554338276E-1,-1.148554832E-1,9.885647774E0
6.061890100E-1,-2.482553422E-1,-1.172483116E-1,9.883255005E0
6.086150000E-1,-2.554338276E-1,-1.196411327E-1,9.880862236E0
6.110409370E-1,-2.769692242E-1,-1.172483116E-1,9.878469467E0
6.134669270E-1,-2.626122832E-1,-1.148554832E-1,9.888040543E0
6.158929170E-1,-2.721835673E-1,-1.148554832E-1,9.878469467E0
6.183189060E-1,-2.650051117E-1,-1.076770201E-1,9.871291161E0
6.207448440E-1,-2.697907388E-1,-1.004985496E-1,9.859326363E0
6.231708330E-1,-2.721835673E-1,-1.148554832E-1,9.866504669E0
6.255968230E-1,-2.530409992E-1,-1.220339537E-1,9.864111900E0
6.280227600E-1,-2.506481707E-1,-1.052841991E-1,9.866504669E0
6.304487500E-1,-2.338984162E-1,-1.052841991E-1,9.876076698E0
6.328747390E-1,-2.530409992E-1,-1.076770201E-1,9.876076698E0
6.353007290E-1,-2.602194548E-1,-1.220339537E-1,9.859326363E0
6.377266670E-1,-2.626122832E-1,-1.172483116E-1,9.876076698E0
6.401526560E-1,-2.578266263E-1,-9.571290761E-2,9.861719131E0
6.425786460E-1,-2.673979402E-1,-1.076770201E-1,9.871291161E0
6.450046350E-1,-2.650051117E-1,-1.172483116E-1,9.859326363E0
6.474305730E-1,-2.626122832E-1,-1.100698411E-1,9.868897438E0
6.498565620E-1,-2.362912297E-1,-1.244267747E-1,9.880862236E0
6.522825520E-1,-2.721835673E-1,-9.571290761E-2,9.892826080E0
6.547084890E-1,-2.626122832E-1,-1.148554832E-1,9.880862236E0
6.571344790E-1,-2.626122832E-1,-1.052841991E-1,9.876076698E0
6.595604690E-1,-2.626122832E-1,-1.220339537E-1,9.856933594E0
