"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.246971550E-1,-3.817795368E-4,-5.344913807E-4,6.108472589E-4,8.969788317E-4
3.271230410E-1,-1.603474026E-3,-5.344913807E-4,-6.108472589E-4,1.797204596E-3
3.295488740E-1,2.290677221E-4,7.635590737E-5,-6.108472589E-4,6.568383512E-4
3.319747070E-1,2.290677221E-4,1.298050396E-3,-6.108472589E-4,1.452770190E-3
3.344005410E-1,-9.926267667E-4,1.298050396E-3,6.108472589E-4,1.744527759E-3
3.368263740E-1,-9.926267667E-4,6.872031372E-4,-6.108472589E-4,1.353030090E-3
3.392522590E-1,-3.817795368E-4,6.872031372E-4,-1.221694518E-3,1.452770203E-3
3.416780930E-1,2.290677221E-4,7.635590737E-5,-6.108472589E-4,6.568383512E-4
3.441039260E-1,-3.817795368E-4,7.635590737E-5,1.221694518E-3,1.282233728E-3
3.465297590E-1,-9.926267667E-4,-5.344913807E-4,1.832541777E-3,2.151557180E-3
3.489556450E-1,-3.817795368E-4,-5.344913807E-4,6.108472589E-4,8.969788317E-4
3.513814780E-1,-3.817795368E-4,7.635590737E-5,-6.108472589E-4,7.243757403E-4
3.538073110E-1,2.290677221E-4,-5.344913807E-4,0.000000000E0,5.815092926E-4
3.562331450E-1,2.290677221E-4,-1.145338640E-3,6.108472589E-4,1.318107353E-3
3.586589780E-1,2.290677221E-4,6.872031372E-4,6.108472589E-4,9.475518703E-4
3.610848630E-1,8.399150101E-4,7.635590737E-5,1.221694518E-3,1.484528526E-3
3.635106970E-1,2.290677221E-4,6.872031372E-4,0.000000000E0,7.243757127E-4
3.659365300E-1,-3.817795368E-4,7.635590737E-5,-6.108472589E-4,7.243757403E-4
3.683623630E-1,-9.926267667E-4,-5.344913807E-4,6.108472589E-4,1.282233718E-3
3.707882490E-1,2.290677221E-4,6.872031372E-4,-1.221694518E-3,1.420301964E-3
3.732140820E-1,8.399150101E-4,-5.344913807E-4,1.221694518E-3,1.575968196E-3
3.756399160E-1,-9.926267667E-4,-5.344913807E-4,-6.108472589E-4,1.282233718E-3
3.780657490E-1,8.399150101E-4,-1.145338640E-3,-1.832541777E-3,2.318505378E-3
3.804916340E-1,8.399150101E-4,6.872031372E-4,0.000000000E0,1.085221349E-3
3.829174680E-1,2.290677221E-4,1.908897655E-3,1.221694518E-3,2.277915664E-3
3.853433010E-1,8.399150101E-4,7.635590737E-5,0.000000000E0,8.433785917E-4
3.877691340E-1,-3.817795368E-4,-1.145338640E-3,-6.108472589E-4,1.353030150E-3
3.901950200E-1,2.290677221E-4,6.872031372E-4,6.108472589E-4,9.475518703E-4
3.926208530E-1,2.290677221E-4,-5.344913807E-4,-6.108472589E-4,8.433785811E-4
3.950466860E-1,2.061609412E-3,-1.145338640E-3,-6.108472589E-4,2.436220093E-3
3.974725200E-1,8.399150101E-4,-1.145338640E-3,0.000000000E0,1.420302018E-3
3.998983530E-1,8.399150101E-4,-5.344913807E-4,-6.108472589E-4,1.168020819E-3
4.023242380E-1,2.290677221E-4,-5.344913807E-4,-6.108472589E-4,8.433785811E-4
