"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.565701070E-1,-1.221694518E-3,-1.145338640E-3,1.145338640E-3,2.028826926E-3
3.589958880E-1,-0.000000000E0,6.872031372E-4,-7.635590737E-5,6.914321199E-4
3.614217730E-1,-0.000000000E0,6.872031372E-4,-7.635590737E-5,6.914321199E-4
3.638476070E-1,-6.108472589E-4,6.872031372E-4,-7.635590737E-5,9.226119174E-4
3.662734400E-1,6.108472589E-4,7.635590737E-5,-1.298050396E-3,1.436627798E-3
3.686992730E-1,-1.221694518E-3,7.635590737E-5,-6.872031372E-4,1.403786263E-3
3.711251070E-1,-0.000000000E0,-1.145338640E-3,5.344913807E-4,1.263915201E-3
3.735509400E-1,1.221694518E-3,7.635590737E-5,-1.298050396E-3,1.784181199E-3
3.759767730E-1,-6.108472589E-4,6.872031372E-4,-7.635590737E-5,9.226119174E-4
3.784026070E-1,6.108472589E-4,-5.344913807E-4,-1.298050396E-3,1.530931168E-3
3.808284400E-1,1.221694518E-3,7.635590737E-5,5.344913807E-4,1.335682880E-3
3.832542730E-1,-1.221694518E-3,7.635590737E-5,1.145338640E-3,1.676355666E-3
3.856801070E-1,-1.832541777E-3,-1.145338640E-3,5.344913807E-4,2.226138136E-3
3.881059400E-1,-6.108472589E-4,-1.145338640E-3,5.344913807E-4,1.403786312E-3
3.905317730E-1,-1.221694518E-3,-5.344913807E-4,5.344913807E-4,1.436627846E-3
3.929576070E-1,6.108472589E-4,7.635590737E-5,-6.872031372E-4,9.226119174E-4
3.953834920E-1,-0.000000000E0,-5.344913807E-4,5.344913807E-4,7.558849595E-4
3.978093250E-1,6.108472589E-4,7.635590737E-5,5.344913807E-4,8.152580170E-4
4.002351590E-1,-6.108472589E-4,-5.344913807E-4,5.344913807E-4,9.718520699E-4
4.026609920E-1,-6.108472589E-4,-5.344913807E-4,-7.635590737E-5,8.152580170E-4
4.050868250E-1,-0.000000000E0,-1.145338640E-3,-7.635590737E-5,1.147881015E-3
4.075126590E-1,6.108472589E-4,-1.756185899E-3,5.344913807E-4,1.934684553E-3
4.099384920E-1,-6.108472589E-4,7.635590737E-5,-7.635590737E-5,6.203183239E-4
4.123643250E-1,-0.000000000E0,-5.344913807E-4,5.344913807E-4,7.558849595E-4
4.147901590E-1,-6.108472589E-4,-1.756185899E-3,1.145338640E-3,2.183832384E-3
4.172159920E-1,1.221694518E-3,-5.344913807E-4,-6.872031372E-4,1.500155553E-3
4.196418250E-1,6.108472589E-4,6.872031372E-4,-6.872031372E-4,1.147880951E-3
4.220676590E-1,-6.108472589E-4,7.635590737E-5,-7.635590737E-5,6.203183239E-4
4.244934920E-1,-1.221694518E-3,-5.344913807E-4,-6.872031372E-4,1.500155553E-3
4.269193250E-1,-0.000000000E0,-5.344913807E-4,-2.519744914E-3,2.575809672E-3
4.293451590E-1,6.108472589E-4,-1.145338640E-3,-7.635590737E-5,1.300294274E-3
4.317710440E-1,-0.000000000E0,-1.145338640E-3,1.145338640E-3,1.619753438E-3
4.341968770E-1,-1.221694518E-3,7.635590737E-5,5.344913807E-4,1.335682880E-3
4.366227110E-1,-6.108472589E-4,6.872031372E-4,-7.635590737E-5,9.226119174E-4
4.390485440E-1,6.108472589E-4,-5.344913807E-4,-1.298050396E-3,1.530931168E-3
4.414743770E-1,-0.000000000E0,-2.367033157E-3,-6.872031372E-4,2.464770602E-3
4.439002110E-1,-6.108472589E-4,-5.344913807E-4,-7.635590737E-5,8.152580170E-4
4.463260440E-1,-6.108472589E-4,-1.145338640E-3,-7.635590737E-5,1.300294274E-3
4.487518770E-1,-0.000000000E0,-5.344913807E-4,-6.872031372E-4,8.705912863E-4
4.511777110E-1,-6.108472589E-4,6.872031372E-4,-1.298050396E-3,1.590697129E-3
4.536035440E-1,-6.108472589E-4,7.635590737E-5,-7.635590737E-5,6.203183239E-4
4.560293770E-1,-0.000000000E0,6.872031372E-4,-7.635590737E-5,6.914321199E-4
4.584552110E-1,-0.000000000E0,-2.367033157E-3,-1.298050396E-3,2.699589006E-3
4.608810440E-1,-0.000000000E0,7.635590737E-5,-7.635590737E-5,1.079835598E-4
4.633068770E-1,-0.000000000E0,7.635590737E-5,5.344913807E-4,5.399178276E-4
4.657327630E-1,6.108472589E-4,7.635590737E-5,-1.908897655E-3,2.005705576E-3
4.681585440E-1,-0.000000000E0,6.872031372E-4,-7.635590737E-5,6.914321199E-4
4.705844290E-1,1.221694518E-3,-5.344913807E-4,-1.298050396E-3,1.860954960E-3
4.730102630E-1,1.221694518E-3,7.635590737E-5,1.145338640E-3,1.676355666E-3
4.754360960E-1,-0.000000000E0,6.872031372E-4,-7.635590737E-5,6.914321199E-4
4.778619290E-1,-0.000000000E0,7.635590737E-5,-7.635590737E-5,1.079835598E-4
4.802877630E-1,-6.108472589E-4,7.635590737E-5,5.344913807E-4,8.152580170E-4
4.827135960E-1,1.832541777E-3,-5.344913807E-4,-1.908897655E-3,2.699588979E-3
4.851394290E-1,6.108472589E-4,-1.145338640E-3,-1.908897655E-3,2.308424838E-3
4.875652630E-1,-0.000000000E0,6.872031372E-4,5.344913807E-4,8.705912863E-4
4.899910960E-1,-6.108472589E-4,7.635590737E-5,-1.298050396E-3,1.436627798E-3
4.924169290E-1,6.108472589E-4,7.635590737E-5,-7.635590737E-5,6.203183239E-4
4.948428150E-1,-0.000000000E0,-5.344913807E-4,-7.635590737E-5,5.399178276E-4
4.972685960E-1,6.108472589E-4,-5.344913807E-4,5.344913807E-4,9.718520699E-4
4.996944820E-1,-0.000000000E0,-5.344913807E-4,5.344913807E-4,7.558849595E-4
5.021203150E-1,1.221694518E-3,7.635590737E-5,-6.872031372E-4,1.403786263E-3
5.045461480E-1,1.832541777E-3,-5.344913807E-4,5.344913807E-4,1.982314666E-3
5.069719820E-1,-6.108472589E-4,-5.344913807E-4,5.344913807E-4,9.718520699E-4
5.093978150E-1,6.108472589E-4,-1.145338640E-3,1.145338640E-3,1.731108192E-3
5.118236480E-1,-6.108472589E-4,7.635590737E-5,-7.635590737E-5,6.203183239E-4
5.142494820E-1,1.221694518E-3,7.635590737E-5,-6.872031372E-4,1.403786263E-3
5.166753150E-1,1.221694518E-3,1.298050396E-3,-6.872031372E-4,1.910424162E-3
5.191011480E-1,-0.000000000E0,7.635590737E-5,-7.635590737E-5,1.079835598E-4
5.215269820E-1,-6.108472589E-4,7.635590737E-5,5.344913807E-4,8.152580170E-4
5.239528150E-1,-1.832541777E-3,7.635590737E-5,5.344913807E-4,1.910424200E-3
5.263786480E-1,-6.108472589E-4,6.872031372E-4,1.756185899E-3,1.982314666E-3
5.288044820E-1,-1.221694518E-3,7.635590737E-5,5.344913807E-4,1.335682880E-3
5.312303670E-1,6.108472589E-4,7.635590737E-5,5.344913807E-4,8.152580170E-4
5.336562000E-1,1.221694518E-3,1.298050396E-3,-7.635590737E-5,1.784181199E-3
5.360820340E-1,1.221694518E-3,2.519744914E-3,-7.635590737E-5,2.801335780E-3
5.385078670E-1,-0.000000000E0,-5.344913807E-4,5.344913807E-4,7.558849595E-4
5.409337000E-1,-0.000000000E0,-1.145338640E-3,5.344913807E-4,1.263915201E-3
5.433595340E-1,6.108472589E-4,-5.344913807E-4,-7.635590737E-5,8.152580170E-4
5.457853670E-1,-0.000000000E0,7.635590737E-5,-7.635590737E-5,1.079835598E-4
5.482112000E-1,6.108472589E-4,1.298050396E-3,-7.635590737E-5,1.436627798E-3
5.506370340E-1,6.108472589E-4,1.908897655E-3,-7.635590737E-5,2.005705576E-3
5.530628670E-1,-0.000000000E0,6.872031372E-4,-7.635590737E-5,6.914321199E-4
5.554887000E-1,6.108472589E-4,-1.145338640E-3,-1.298050396E-3,1.835720514E-3
5.579145340E-1,-6.108472589E-4,6.872031372E-4,5.344913807E-4,1.063514721E-3
5.603404190E-1,-6.108472589E-4,-5.344913807E-4,-7.635590737E-5,8.152580170E-4
5.627662000E-1,6.108472589E-4,7.635590737E-5,-1.298050396E-3,1.436627798E-3
5.651920860E-1,-0.000000000E0,-1.145338640E-3,-7.635590737E-5,1.147881015E-3
5.676179190E-1,1.221694518E-3,-1.145338640E-3,-7.635590737E-5,1.676355666E-3
5.700437520E-1,1.221694518E-3,-5.344913807E-4,-1.298050396E-3,1.860954960E-3
5.724695860E-1,-0.000000000E0,6.872031372E-4,-7.635590737E-5,6.914321199E-4
5.748954190E-1,-6.108472589E-4,7.635590737E-5,-7.635590737E-5,6.203183239E-4
5.773212520E-1,6.108472589E-4,-1.145338640E-3,-7.635590737E-5,1.300294274E-3
5.797470860E-1,-0.000000000E0,-5.344913807E-4,-6.872031372E-4,8.705912863E-4
5.821729190E-1,6.108472589E-4,-5.344913807E-4,-1.298050396E-3,1.530931168E-3
5.845987520E-1,6.108472589E-4,-5.344913807E-4,1.145338640E-3,1.403786312E-3
