"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.547448090E-1,3.213056624E-1,-2.201951742E0,-1.484206080E0
5.571706940E-1,-3.184041381E-2,-1.912410021E0,-1.144575000E0
5.595966310E-1,-3.610870838E-1,-1.559340358E0,-7.744016051E-1
5.620225690E-1,-6.628456116E-1,-1.195809841E0,-3.797942698E-1
5.644485060E-1,-9.236773849E-1,-8.781692982E-1,3.619270027E-2
5.668744440E-1,-1.131365538E0,-6.277219057E-1,4.724139869E-1
5.693003810E-1,-1.288353205E0,-4.322507977E-1,9.256626368E-1
5.717263190E-1,-1.403192520E0,-2.654894888E-1,1.385630608E0
5.741522560E-1,-1.479548454E0,-1.017824262E-1,1.833992481E0
5.765781940E-1,-1.524751067E0,5.764871091E-2,2.259142160E0
5.790041310E-1,-1.530859590E0,2.011978179E-1,2.648252010E0
5.814300690E-1,-1.502760649E0,3.251998127E-1,2.992769718E0
5.838560060E-1,-1.445340991E0,4.223245382E-1,3.283609390E0
5.862819440E-1,-1.362876534E0,4.852418005E-1,3.518174887E0
5.887078810E-1,-1.262086749E0,5.163949728E-1,3.698374748E0
5.911338190E-1,-1.139306545E0,5.139515996E-1,3.825430870E0
5.935597560E-1,-1.004920125E0,4.895177186E-1,3.908506155E0
5.959856420E-1,-8.662577868E-1,4.522560537E-1,3.948211193E0
5.984115790E-1,-7.220978141E-1,4.070533514E-1,3.951876402E0
6.008375170E-1,-5.754944682E-1,3.642940223E-1,3.922555685E0
6.032634540E-1,-4.233935177E-1,3.178696334E-1,3.869411945E0
6.056893920E-1,-2.651840746E-1,2.732777894E-1,3.796721220E0
6.081153290E-1,-1.020878479E-1,2.299076319E-1,3.708759069E0
6.105412670E-1,6.780404598E-2,1.853157878E-1,3.606747627E0
6.129672040E-1,2.382304370E-1,1.419456303E-1,3.491297483E0
6.153931420E-1,4.098785222E-1,1.004080176E-1,3.359965324E0
6.178190790E-1,5.778614879E-1,6.925480813E-2,3.217027187E0
6.202450170E-1,7.354601026E-1,6.192464009E-2,3.066147804E0
6.226709540E-1,8.796200752E-1,7.658497244E-2,2.909694672E0
6.250968920E-1,1.005454540E0,1.156791970E-1,2.747820139E0
6.275227770E-1,1.106855273E0,1.737096906E-1,2.580447912E0
6.299487150E-1,1.188097954E0,2.457896620E-1,2.399026155E0
6.323746520E-1,1.240019917E0,3.349733651E-1,2.204776764E0
6.348005900E-1,1.260788798E0,4.375956953E-1,1.992812872E0
6.372265270E-1,1.257123709E0,5.518241525E-1,1.763134241E0
6.396524650E-1,1.229024649E0,6.715502143E-1,1.520627856E0
6.420784020E-1,1.179545999E0,7.924979329E-1,1.265904546E0
6.445043400E-1,1.112352848E0,9.085589647E-1,1.003240228E0
6.469302770E-1,1.034775257E0,1.020344019E0,7.338566184E-1
6.493562150E-1,9.474241138E-1,1.119912148E0,4.614187479E-1
6.517821520E-1,8.557969928E-1,1.195046306E0,1.901262105E-1
6.542080900E-1,7.605048418E-1,1.248266339E0,-7.437065244E-2
6.566340270E-1,6.688777208E-1,1.279419541E0,-3.376458287E-1
6.590599650E-1,5.796940327E-1,1.288582325E0,-5.923691392E-1
6.614859020E-1,4.960079789E-1,1.275754452E0,-8.446490765E-1
6.639117880E-1,4.165978432E-1,1.246433854E0,-1.086544514E0
6.663377250E-1,3.432961702E-1,1.205507040E0,-1.321109891E0
6.687636630E-1,2.779355049E-1,1.152897835E0,-1.550177574E0
6.711896000E-1,2.211267054E-1,1.096089005E0,-1.773747683E0
6.736155380E-1,1.685938388E-1,1.035615206E0,-1.989987612E0
6.760414750E-1,1.209477559E-1,9.757521152E-1,-2.206838369E0
6.784674130E-1,7.391251624E-2,9.201650620E-1,-2.423154831E0
6.808933500E-1,2.802261710E-2,8.792382479E-1,-2.646113873E0
6.833192880E-1,-2.145601064E-2,8.444199562E-1,-2.875792503E0
6.857452250E-1,-8.009734750E-2,8.126559258E-1,-3.104860306E0
6.881711630E-1,-1.497339308E-1,7.876111865E-1,-3.333927870E0
6.905971000E-1,-2.303657681E-1,7.662315369E-1,-3.552611351E0
6.930230380E-1,-3.195494711E-1,7.442410588E-1,-3.750525713E0
6.954489230E-1,-4.160633385E-1,7.246938944E-1,-3.919730425E0
