"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
7.065278200E-1,3.054236295E-4,0.000000000E0,4.581354442E-4,5.506102784E-4
7.089729240E-1,-9.162708884E-4,2.443389036E-3,-1.985253533E-3,3.278861679E-3
7.114171950E-1,3.054236295E-4,1.221694518E-3,-7.635590737E-4,1.472699408E-3
7.138607370E-1,-9.162708884E-4,-1.221694518E-3,4.581354442E-4,1.594358153E-3
7.163051120E-1,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
7.187502160E-1,-9.162708884E-4,-1.221694518E-3,4.581354442E-4,1.594358153E-3
7.211944870E-1,3.054236295E-4,-1.221694518E-3,4.581354442E-4,1.340040736E-3
7.236380290E-1,2.748812549E-3,-1.221694518E-3,1.679830020E-3,3.445335516E-3
7.260824040E-1,1.527118147E-3,-1.221694518E-3,4.581354442E-4,2.008610320E-3
7.285275080E-1,1.527118147E-3,0.000000000E0,-7.635590737E-4,1.707369994E-3
7.309717790E-1,3.054236295E-4,0.000000000E0,1.679830020E-3,1.707370051E-3
7.334153200E-1,1.527118147E-3,-1.221694518E-3,4.581354442E-4,2.008610320E-3
7.358596950E-1,-9.162708884E-4,-1.221694518E-3,-7.635590737E-4,1.707369994E-3
7.383048510E-1,1.527118147E-3,-1.221694518E-3,4.581354442E-4,2.008610320E-3
7.407491220E-1,1.527118147E-3,0.000000000E0,4.581354442E-4,1.594358153E-3
7.431926120E-1,3.054236295E-4,0.000000000E0,4.581354442E-4,5.506102784E-4
7.456369870E-1,-9.162708884E-4,0.000000000E0,4.581354442E-4,1.024421996E-3
7.480821430E-1,-9.162708884E-4,0.000000000E0,-7.635590737E-4,1.192717402E-3
7.505264140E-1,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
7.529699560E-1,3.054236295E-4,-1.221694518E-3,1.679830020E-3,2.099440398E-3
7.554142260E-1,-9.162708884E-4,0.000000000E0,1.679830020E-3,1.913473605E-3
7.578594350E-1,-9.162708884E-4,0.000000000E0,4.581354442E-4,1.024421996E-3
7.603037060E-1,3.054236295E-4,0.000000000E0,-1.985253533E-3,2.008610262E-3
7.627472470E-1,3.054236295E-4,-2.443389036E-3,4.581354442E-4,2.504659989E-3
7.651916220E-1,1.527118147E-3,-2.443389036E-3,1.679830020E-3,3.335276407E-3
7.676367260E-1,3.054236295E-4,0.000000000E0,4.581354442E-4,5.506102784E-4
7.700809970E-1,1.527118147E-3,-1.221694518E-3,-7.635590737E-4,2.099440352E-3
7.725245390E-1,3.054236295E-4,-1.221694518E-3,-7.635590737E-4,1.472699408E-3
7.749689140E-1,-9.162708884E-4,0.000000000E0,4.581354442E-4,1.024421996E-3
7.774140180E-1,-9.162708884E-4,0.000000000E0,1.679830020E-3,1.913473605E-3
7.798582890E-1,-2.137965523E-3,-1.221694518E-3,-7.635590737E-4,2.578072251E-3
7.823018310E-1,3.054236295E-4,0.000000000E0,4.581354442E-4,5.506102784E-4
