"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.152171570E-1,-5.360184908E-1,-3.675773442E-1,6.817055345E-1
3.176616360E-1,-5.225798488E-1,-3.077143133E-1,7.721109390E-1
3.201068960E-1,-5.042544007E-1,-2.551814318E-1,8.527427912E-1
3.225512710E-1,-4.834856093E-1,-2.099787444E-1,9.223793745E-1
3.249948650E-1,-4.627167881E-1,-1.708845198E-1,9.822424054E-1
3.274393440E-1,-4.419479966E-1,-1.415638477E-1,1.032331824E0
3.298846050E-1,-4.211791754E-1,-1.183516532E-1,1.073869467E0
3.323289800E-1,-4.016320705E-1,-1.000262350E-1,1.111742020E0
3.347725740E-1,-3.808632791E-1,-8.780929446E-2,1.142284393E0
3.372170530E-1,-3.625378609E-1,-7.925742865E-2,1.165496588E0
3.396623130E-1,-3.454341292E-1,-7.681404054E-2,1.187487125E0
3.421066880E-1,-3.319954872E-1,-7.681404054E-2,1.205812454E0
3.445502820E-1,-3.185568452E-1,-8.047912270E-2,1.226581335E0
3.469947610E-1,-3.087832928E-1,-8.903098851E-2,1.248571754E0
3.494400210E-1,-2.990097404E-1,-1.000262350E-1,1.280335903E0
3.518843440E-1,-2.941229641E-1,-1.097997949E-1,1.318208337E0
3.543279900E-1,-2.904578745E-1,-1.183516532E-1,1.360967636E0
3.567724690E-1,-2.892361879E-1,-1.281252056E-1,1.413500547E0
3.592177300E-1,-2.892361879E-1,-1.391204596E-1,1.468476772E0
3.616621050E-1,-2.916795611E-1,-1.440072358E-1,1.530783176E0
3.641056990E-1,-2.929012477E-1,-1.476723254E-1,1.595533013E0
3.665501780E-1,-2.965663373E-1,-1.476723254E-1,1.665169597E0
3.689954380E-1,-3.051182032E-1,-1.488940120E-1,1.737249613E0
3.714398130E-1,-3.210002482E-1,-1.635543555E-1,1.801999450E0
3.738834070E-1,-3.442124426E-1,-1.928750277E-1,1.869192600E0
3.763278860E-1,-3.723114133E-1,-2.234173864E-1,1.938829184E0
3.787731460E-1,-4.028537571E-1,-2.564031482E-1,2.010909081E0
3.812175210E-1,-4.333961308E-1,-2.857238054E-1,2.081767559E0
3.836611150E-1,-4.578300118E-1,-3.040492237E-1,2.145295620E0
3.861055940E-1,-4.785988331E-1,-3.174878657E-1,2.214932203E0
3.885508550E-1,-4.932591617E-1,-3.358132839E-1,2.282125473E0
3.909952300E-1,-5.066977739E-1,-3.541387022E-1,2.339545012E0
3.934388240E-1,-5.213581324E-1,-3.700207174E-1,2.389634371E0
3.958833030E-1,-5.445703268E-1,-3.797942698E-1,2.431172132E0
3.983285630E-1,-5.702258945E-1,-3.846810758E-1,2.467823029E0
4.007729380E-1,-5.971031785E-1,-3.846810758E-1,2.497143507E0
4.032165320E-1,-6.337540150E-1,-3.797942698E-1,2.525242567E0
4.056610110E-1,-6.742226481E-1,-3.761292100E-1,2.548454762E0
4.081062710E-1,-7.169819474E-1,-3.736858070E-1,2.571666956E0
4.105506460E-1,-7.658497691E-1,-3.761292100E-1,2.599766016E0
4.129942400E-1,-8.208259940E-1,-3.810159862E-1,2.613204479E0
4.154387190E-1,-8.770239353E-1,-3.920112252E-1,2.627864838E0
4.178839280E-1,-9.332218766E-1,-4.054498672E-1,2.636416674E0
4.203284070E-1,-9.930849075E-1,-4.225535989E-1,2.632751703E0
4.227719490E-1,-1.050504565E0,-4.445441067E-1,2.618091345E0
4.252164280E-1,-1.105480790E0,-4.604261220E-1,2.589992285E0
4.276616360E-1,-1.155570269E0,-4.738647640E-1,2.547233105E0
4.301060110E-1,-1.200773001E0,-4.873034060E-1,2.495921850E0
4.325496570E-1,-1.236202121E0,-4.970769584E-1,2.429950476E0
