"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
3.436745103E1,0.000000000E0,1.527118147E-4,-1.221694518E-3,1.231202012E-3
3.436989535E1,-1.221694518E-3,1.527118147E-4,-3.665083554E-3,3.866354336E-3
3.437233900E1,-1.221694518E-3,1.374406274E-3,-1.221694518E-3,2.207729059E-3
3.437478343E1,0.000000000E0,1.527118147E-4,1.221694518E-3,1.231202012E-3
3.437722869E1,0.000000000E0,1.374406274E-3,0.000000000E0,1.374406274E-3
3.437967306E1,0.000000000E0,1.374406274E-3,-1.221694518E-3,1.838893717E-3
3.438211671E1,0.000000000E0,-1.068982761E-3,-2.443389036E-3,2.666997211E-3
3.438456113E1,0.000000000E0,-1.068982761E-3,0.000000000E0,1.068982761E-3
3.438700640E1,0.000000000E0,-1.068982761E-3,0.000000000E0,1.068982761E-3
3.438945077E1,0.000000000E0,1.527118147E-4,0.000000000E0,1.527118147E-4
3.439189436E1,1.221694518E-3,1.374406274E-3,0.000000000E0,1.838893717E-3
3.439433879E1,-1.221694518E-3,1.374406274E-3,0.000000000E0,1.838893717E-3
3.439678405E1,0.000000000E0,1.527118147E-4,-1.221694518E-3,1.231202012E-3
3.439922843E1,-1.221694518E-3,1.527118147E-4,-1.221694518E-3,1.734472798E-3
3.440167207E1,-1.221694518E-3,1.374406274E-3,1.221694518E-3,2.207729059E-3
3.440411645E1,0.000000000E0,1.527118147E-4,-1.221694518E-3,1.231202012E-3
3.440656176E1,1.221694518E-3,-1.068982761E-3,-1.221694518E-3,2.031698583E-3
3.440900613E1,1.221694518E-3,1.527118147E-4,0.000000000E0,1.231202012E-3
3.441144973E1,-1.221694518E-3,-1.068982761E-3,0.000000000E0,1.623348896E-3
3.441389416E1,-1.221694518E-3,1.527118147E-4,0.000000000E0,1.231202012E-3
3.441633942E1,-1.221694518E-3,1.527118147E-4,-1.221694518E-3,1.734472798E-3
3.441878379E1,0.000000000E0,1.374406274E-3,1.221694518E-3,1.838893717E-3
3.442122744E1,2.443389036E-3,1.527118147E-4,1.221694518E-3,2.736057085E-3
3.442367186E1,0.000000000E0,2.596100792E-3,0.000000000E0,2.596100792E-3
3.442611712E1,-1.221694518E-3,1.374406274E-3,-1.221694518E-3,2.207729059E-3
3.442856150E1,-1.221694518E-3,1.374406274E-3,0.000000000E0,1.838893717E-3
3.443100509E1,-1.221694518E-3,1.374406274E-3,0.000000000E0,1.838893717E-3
3.443344952E1,0.000000000E0,1.374406274E-3,3.665083554E-3,3.914310931E-3
3.443589478E1,-1.221694518E-3,1.527118147E-4,-2.443389036E-3,2.736057085E-3
